id,source,title,link,publication_date,close_date,organization_name,organization_url,organization_description,description,salary_range,tags
693b22fe938f,"80,000 Hours; Probably Good; EA Opportunities Board",Career Bootcamp Lead,https://www.centreforeffectivealtruism.org/careers?ashby_jid=d7fc81f3-5553-42cf-bc4d-a64e7535c101&utm_source=80000hours&utm_medium=job-board,2026-07-30,2026-08-07,Centre for Effective Altruism,https://www.centreforeffectivealtruism.org,The Centre for Effective Altruism is a nonprofit providing support and coordination for the effective altruism movement and community.,"In this role, you'll support CEA's mission to build a global community tackling the world's pressing problems through effective altruism. Run conferences, support local groups, and provide online resources for community engagement. Work collaboratively with a team that prioritises collective growth, empirical testing, and continuous improvement. Develop diverse skills through challenging, open-ended projects with regular feedback and professional development. Take ownership of high-impact work while embracing our values of purpose-first decisions and learning from mistakes.","Base: $119,989 (US); £72,184 (UK)","Building effective altruism; Full-time; Operations; Undergraduate degree or less; Multiple experience levels; Remote, Global; Global; Remote; Finance; Strategy; Management; Mid (5-9 years experience); Outreach; Community Building; Communications & Outreach; Software Engineering; Undergraduate Degree or Less; Mid (5–9y); Senior (10y+); Full-Time; Career-Capital; Junior (1–4y); Entry-Level; Expression of Interest; Communication; Community building; Organization building, boosting & running; Direct high impact on an important cause; Direct/increased engagement with EA; Collaborative problem-solving; Skill-building & building career capital; Research; Part-time; Specialized degree (M.D., J.D., etc.)"
eba27533ec25,"80,000 Hours; EA Opportunities Board",Head of People,https://jobs.lever.co/epoch-ai/bae10238-f78d-48e4-a57a-c3333181a02e?utm_source=80000hours&utm_medium=job-board,2026-07-30,,Epoch AI,https://epoch.ai,Epoch AI is a team of researchers investigating and forecasting the future development of advanced AI.,"In this role, you'll own the people function spanning recruiting, HR, and events while scaling systems for organizational growth. Manage a team of five including two recruiters, a talent scout, events lead, and people operations associate. Own the hiring system, improving processes and managing candidate and hiring manager experience while reporting on metrics. Build and scale onboarding, benefits, compliance, and culture initiatives across the expanding organization. Oversee the events function, set strategic goals, and shape the calendar to serve organizational needs.","$145,000 - $241,000","AI safety & policy; Full-time; Operations; Management; Undergraduate degree or less; Mid (5-9 years experience); Remote, Global; Global; USA; San Francisco Bay Area; Remote; Organization building, boosting & running; Communication; Direct high impact on an important cause; Skill-building & building career capital"
5806f6dc7492,"80,000 Hours; EA Opportunities Board","GenAI Chemical, Biological, Radiological, and Nuclear Expert",https://alice.io/positions/position-61_f63?utm_source=80000hours&utm_medium=job-board,2026-07-30,,Alice,https://alice.io/,"Alice is a trust, safety, and security AI company.","In this role, you'll ensure the safety and integrity of Generative AI systems by creating domain-specific CBRN prompts and evaluating AI-generated responses. Write adversarial prompts designed to test AI model vulnerabilities and resistance to generating dangerous outputs. Evaluate AI-generated responses for accuracy, scientific validity, and regulatory compliance. Identify and flag content that is incorrect, harmful, misleading, or ethically concerning. Stay updated with current research and provide constructive feedback to improve prompt design. Our take on this role: We think the biology focus is particularly promising.","$146,000 - $155,000","AI safety & policy; Biosecurity & pandemic preparedness; Full-time; Research; Information security; Master's degree; Multiple experience levels; Remote, Global; Global; Remote; Communication; Collaborative problem-solving; Direct high impact on an important cause; Graduate degree"
d02a411d8262,"80,000 Hours; EA Opportunities Board",Product and Growth Lead,https://acsresearch.org/hiring?utm_source=80000hours&utm_medium=job-board,2026-07-29,2026-08-15,"Charles University, Centre for Theoretical Studies",https://cuni.cz/,,"In this role, you'll drive platform growth and ensure active researcher engagement. Support users, gather feedback, analyse data, and suggest improvements. Recruit and onboard researchers through outreach, communities, and events. Shape the product roadmap by prioritising features and improvements.","$70,000 - $200,000","AI safety & policy; Full-time; Strategy; Undergraduate degree or less; Junior (1-4 years experience); Mid (5-9 years experience); Remote, Global; Global; Remote; Software engineering; Part-time; Organization building, boosting & running; Communication; Community building; Operations; Management; Direct high impact on an important cause; Skill-building & building career capital; Testing your fit for a certain career path"
1515f216b977,"80,000 Hours; Probably Good; EA Opportunities Board","Communications Officer, Media Relations",https://jobs.ashbyhq.com/coefficientgiving/31143e32-ef63-49d2-a523-757b5514b637?utm_source=80000hours&utm_medium=job-board,2026-07-27,2026-08-10,Coefficient Giving,https://coefficientgiving.org/,"Coefficient Giving is a grantmaking and research nonprofit working across a range of areas. Disclaimer: Coefficient Giving is 80,000 Hours' largest funder .","In this role, you'll serve as a media relations representative, securing accurate, high-quality coverage of Coefficient Giving's work. Pitch and place stories by developing story ideas and building relationships with journalists across relevant beats. Manage reactive press work by triaging media inquiries, drafting statements, and coordinating fast responses on deadline. Prepare staff and leadership for interviews by producing briefing documents and talking points. Monitor coverage and flag risks and opportunities to support reputational risk assessments.","$166,750","Macrostrategy; Full-time; Outreach; Undergraduate degree or less; Junior (1-4 years experience); Mid (5-9 years experience); New York, NY; Global; Washington, DC metro area; USA; San Francisco Bay Area; Remote, Global; Remote; Biosecurity; Animal Welfare; AI Safety & Policy; Global Health & Development; Communications & Outreach; Undergraduate Degree or Less; Mid (5–9y); Junior (1–4y); Full-Time; Building effective altruism; Other (pressing); Communication; Political & bureaucratic; Community building; Policy writing; Collaborative problem-solving; Direct high impact on an important cause; Direct/increased engagement with EA; Skill-building & building career capital"
bd383f64aad6,"80,000 Hours",Technical AI Safety Upskilling Resources,https://80000hours.org/2025/06/technical-ai-safety-upskilling-resources/,2026-07-27,,"80,000 Hours",https://80000hours.org/,"80,000 Hours is a nonprofit aiming to solve the most pressing skill bottlenecks in the world’s most pressing problems. We do this by helping people choose or switch into careers that effectively tackle these problems.","Sometimes, our advising team speaks to people who have enthusiasm for technical AI safety and a related skill set but need concrete ideas for how to enter the field. This list was developed in consultation with our advisors to find the resources they commonly share. List includes articles, newsletters, podcasts, courses, idea lists, advice, fellowships, and organisations.",,"AI safety & policy; Other; Engineering; Research; Software engineering; Information security; Undergraduate degree or less; Multiple experience levels; Remote, Global; Global; Remote"
45c4f936d29f,"80,000 Hours; Probably Good",GenAI Analyst,https://alice.io/positions/position-0f_e64?utm_source=80000hours&utm_medium=job-board,2026-07-27,,Alice,https://alice.io/,"Alice is a trust, safety, and security AI company.","In this role, you'll test Generative AI models by writing adversarial prompts to identify security vulnerabilities. Develop prompt strategies across multiple abuse categories to expose model weaknesses. Manage projects end-to-end from planning through quality assurance to final delivery. Handle multilingual datasets across abuse areas with meticulous precision and attention to detail. Investigate emerging tactics for circumventing safety measures and collaborate cross-functionally.","$63,000 - $90,000","Technical; Full-time; Research; Information security; Undergraduate degree or less; Junior (1-4 years experience); Remote, Global; Global; Remote; AI Safety & Policy; Operations; Data; Undergraduate Degree or Less; Mid (5–9y); Junior (1–4y); Full-Time"
820fb6a6142e,"80,000 Hours",AI Civic Action Accelerator,https://aspenpolicyacademy.org/program/ai-civic-action-accelerator/?utm_source=80000hours&utm_medium=job-board,2026-07-27,2026-09-01,Aspen Institute,https://www.aspeninstitute.org/,"The Aspen Institute is an international nonprofit which aims to realise ""a free, just, and equitable society"" through seminars, policy programs, conferences, and leadership development initiatives.",This course helps individuals and teams develop policy solutions to AI civic challenges. Provides a framework for policy impact through 6 virtual 2-hour workshops with expert feedback. Participants develop concrete solutions and pitch them to real policymakers. Includes 8-10 additional hours weekly for readings and assignments over 6 weeks.,,"Other policy-focused; Course; Policy; Undergraduate degree or less; Entry-level; Remote, Global; Global; Remote"
53efc4f80213,"80,000 Hours",Biosecurity Course,https://bluedot.org/courses/biosecurity?utm_source=80000hours&utm_medium=job-board,2026-07-27,,BlueDot Impact,https://www.bluedotimpact.org/,"BlueDot Impact is a nonprofit that runs courses which aim to help participants develop the knowledge, community and network needed to pursue high-impact careers.","This course teaches how to prevent, detect and respond to pandemic threats and identify where you can contribute. Covers structured overview of pandemic preparedness efforts, what works, what fails, and critical gaps in the system. Offers flexible formats: intensive (~6 days at ~5h/day) or part-time (~6 weeks at ~5h/week) with expert-led discussions. Applications are rolling.",,"Biosecurity & pandemic preparedness; Course; Other; Undergraduate degree or less; Entry-level; Remote, Global; Global; Remote"
fc84c0e308ff,"80,000 Hours; EA Opportunities Board",Finance Operations Associate / Lead,https://jobs.ashbyhq.com/coefficientgiving/35d8cb34-2db3-4be4-8ad3-c94ec3bc7868?utm_source=80000hours&utm_medium=job-board,2026-07-24,2026-08-10,Coefficient Giving,https://coefficientgiving.org/,"Coefficient Giving is a grantmaking and research nonprofit working across a range of areas. Disclaimer: Coefficient Giving is 80,000 Hours' largest funder .","In this role, you'll manage core finance operations and special projects to support Coefficient Giving's growth. Process invoices, manage the finance inbox, and troubleshoot finance-related questions from staff and contractors. Review expenses, support accounts payable, and contribute to month-end and year-end close activities. Onboard contractors and maintain accurate documentation of finance processes and procedures. Lead special projects including finance tools implementation, international entity set-ups, and internal controls development.","$113,500 - $130,525 (Associate); $135,500 - $155,825 (Lead)","Building effective altruism; Full-time; Operations; Finance; Undergraduate degree or less; Junior (1-4 years experience); Mid (5-9 years experience); Remote, Global; Global; Remote; Management; Direct high impact on an important cause; Skill-building & building career capital"
