de-word,de-sentence,en-word,en-sentence
beendet,Die Umfrage ist beendet.,closed,The survey is now closed.
Behörde,An welche Behörde muss ich mich wenden?,authority,Which authority do I need to contact?
Voraussetzungen,Die Voraussetzungen müssen erfüllt sein.,requirements,The requirements must be met.
Gefängnis,Das Gefängnis wurde 1974 für immer geschlossen.,prison,The prison was permanently closed in 1974.
Erhöhung,Was ist der Grund für die Erhöhung der Preise?,increase,What is the reason for the price increase?
Spur,"Um den Bären zu finden, mussten wir seiner Spur folgen.",track,"To find the bear, we had to follow its tracks."
verhindern,Jens hätte den Streit verhindern sollen.,prevent,Jens should have prevented the argument.
überzeugt,Hat Sie das überzeugt?,convinced,Has that convinced you?
Umfeld,Wir arbeiten in einem internationalen Umfeld.,Environment,We work in an international environment.
abgeben,Ich muss den Bericht am Montag abgeben.,hand over,I have to submit the report on Monday.
durchsetzen,Die Politiker möchten die Reform durchsetzen.,push through,The politicians want to push through the reform.
Stadion,Wir waren im Stadion und haben das Spiel live gesehen.,stadium,We were at the stadium and watched the game live.
öffentlich,Dieser Park ist öffentlich zugänglich.,public,This park is open to the public.
Quartal,Ab dem 3. Quartal waren die Zahlen positiv.,quarter,"From the 3rd quarter onwards, the figures were positive."
Zweck,Was ist der Zweck Ihrer Reise?,Purpose,What is the purpose of your visit?
Spuren,Die Spuren führten zu dem Haus.,Sense,The trail led to the house.
Vorwürfe,Ich mache Ihnen deswegen keine Vorwürfe.,Allegations,I'm not blaming you for that.
Vorlage,Online gibt es bestimmt eine Vorlage von Lebensläufen.,Template,There are definitely resume templates available online.
erfolgt,"Sie sagen, eine Revolution sei erfolgt.",is,They say a revolution has taken place.
erhöht,Ricks Krankenkassenbeiträge wurden erhöht.,increased,Rick's health insurance premiums were increased.
aktuell,Aktuell haben wir keine offenen Stellen.,current,We currently have no open positions.
Ausschuss,Der Ausschuss hat neun Mitglieder.,Committee,The committee has nine members.
Mensch,der Mensch,Person,the human being
Auffassung,Er ist immer noch derselben Auffassung.,opinion,He still holds the same opinion.
Bericht,Das war ein offizieller Bericht.,report,That was an official report.
